offerId,ean,notPublishableReason,notPublishableReasonDescription
f10b0ab9-b062-4564-ab29-dfec49e1ed2c,4024506600317,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
ec6b8d31-0a5b-43bf-bd3b-29a015ef5d48,8720929451944,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d81204f5-b0ae-472c-881f-03b08a138bf2,8720615384099,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
86558045-9b56-470e-915f-26bb916f403e,8720929451715,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
79790d23-3f5a-480a-8557-68ca18ad8ddc,8720813350131,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
00d4456b-503d-425d-8b64-18b0e9aca828,8720618241504,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
ed495de6-1cea-453f-a9a9-7f59019aaa64,8720813352937,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
8496b08a-59fc-40e9-b3a2-00f2f2e6de6c,8720813352883,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
e91174d4-6484-4f3d-af9e-05608c958477,8720828204146,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
57dee9e4-cee0-4b2f-9cbf-52ba6af3995a,8432393140056,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
fa2ff07d-e3a6-4b7e-813f-0360b04d5c44,8720618241948,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
7be8f48f-afb8-476e-94de-b0a47099e4a4,8720828204450,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
d2424bc8-0124-4f3c-a23b-d6505d84e640,8720828204436,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
1bed95fd-f4d3-48ba-b385-ed77249aa150,8720929451951,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
2735aabb-f0e8-4860-a558-57fc7b5a4f25,8720813353040,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
b463f744-bc87-4f2b-9589-748b4f9f552f,8720813351817,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
853acbd6-0210-43f4-8fdf-845b80ebb447,8720828204443,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
17b9209b-a71c-481b-bb04-d09541061dea,8720615383825,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
b0008a15-9858-487e-9da2-18888999f48d,4024506600294,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
7e709be1-31ea-425e-8a9b-0260ae1758fb,8720813352975,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
cf908985-c5fa-4e51-9a3b-f8f4ca44ea95,8720813350162,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
4d71d701-a113-4f7a-8a3e-deedf7e45ae3,8720813352968,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
51fd4b0e-d3ed-4eae-ae32-fb98c6652f1e,8719327502228,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
1e07d6a9-3878-4ce4-adf6-3a9bd49c747f,8719984127550,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
