offerId,ean,notPublishableReason,notPublishableReasonDescription
32126368-6f71-43c0-9f3d-81931e7ea30d,8720828084649,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
7bb7ffa3-4016-45c8-9bf9-c11d348fdc7a,8720938245107,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
cdc443b5-ff98-469e-9188-bd2e0157f3cd,8720938245589,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
b43cb291-aa98-4fc3-9aa7-2cedd3a57d8c,8720828084038,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
fa41cada-7e89-438c-9f2a-48e01f745a54,8720828084014,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
6eb7aa3b-4db0-4356-860d-94095952370b,8720828084779,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
60c29ba4-037c-4c40-bb1f-5d78969a50b8,8720938245015,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
2ef5b903-8d2d-432d-8ddb-b286fcb304ef,8720387478798,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
32260e9e-3a68-4bed-9ad5-05a08b17d709,8720828084984,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
8a5dc0f7-dc4c-4eb5-be38-1a469482573e,8720938245213,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
0c9a95c2-4b73-4660-94d4-3a06981a2545,8721082009140,UNMATCHED_OFFER,For this product essential product information is missing. Go to 'Mijn aanbod' to enrich this product.
144ed7a4-6f4c-42d4-a58b-e0beebedbe0c,8721082009157,UNMATCHED_OFFER,For this product essential product information is missing. Go to 'Mijn aanbod' to enrich this product.
