offerId,ean,notPublishableReason,notPublishableReasonDescription
ab200e8d-aeca-4d05-b7fa-dae8879e6c16,4712805977024,PRICE_NOT_COMPETITIVE,Price too high
c7865597-b136-4e7c-8bab-42bf266ac363,4026495865678,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d366afef-9c06-470f-a491-a6749a81ad0b,4712806003791,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
6ba78e52-d061-4cfe-8c33-fef09620390c,4712805991259,PRICE_NOT_COMPETITIVE,Price too high
131240ce-6483-4c87-8461-655f34275ea6,4710582552533,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
9cab6ea5-5ac0-4adc-9e09-2f7937e0daae,8030282426399,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
55333abf-879e-425d-9356-ef6b7e5859c5,4712805982516,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
1abb021e-42d1-4f69-9936-ee33032cc197,8030282520349,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
9f57ab84-0118-4c6b-ad5f-9d01f303c419,8030282528185,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
a2b836c0-8c22-40ed-9364-82f15993c436,8057017985976,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
f2e95142-d8a2-434a-83e0-41783b016579,4026495087247,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
4e5c6a71-1d0a-481c-9ff7-009448012a72,4026495760041,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
d50f7555-204e-4330-8b0d-7369b55fe67a,4250589499351,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
50b9b42f-5d62-4e78-9aff-c190801ca3c2,8030282477193,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
e4761bc7-f971-43d5-bd7e-0c34dcc91737,4054571158499,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d5d5291b-dfbe-4290-95a9-d85ef2093dd6,3700890934818,PRICE_NOT_COMPETITIVE,Price too high
4bd843e7-66ec-4c23-9a42-97ce7b0ec339,4250589499306,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
6161cf43-bcc4-4173-be37-a7ecf46202e4,4054571221780,PRICE_NOT_COMPETITIVE,Price too high
8a804754-3c41-41d2-bafb-c770df8a7c7d,8057017989806,PRICE_NOT_COMPETITIVE,Price too high
8a804754-3c41-41d2-bafb-c770df8a7c7d,8057017989806,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
b606d244-f8b1-4a84-a8ac-0e583938522c,4250589468692,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
ee388ab8-860e-45be-b9ff-d9db5fb10747,4026495087223,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
db8d9bc7-5dbe-4499-9c33-8bc211845eee,4054571144249,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
c3042042-4a55-4685-a7c2-2104a54bae55,4250589499399,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
a18a463e-9398-4f81-bbf7-e28106d052d7,4054571237699,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
13c55ab0-4077-43f6-8201-843941431c62,4250589499382,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
d411514b-367a-4384-8083-92ba2dc4ed83,4026495622639,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
f68c36ef-fc6f-4641-bd46-6c1ad2ab43b9,4712806003203,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
c14adade-745e-4f88-8a2b-1fbf10c2f117,4712805980604,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
a0e14dd9-8dba-4234-9c0a-67d9a159f8ed,4026495873116,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
464b8015-9930-4f6c-8790-293d591f86ba,4712805971060,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
594660c1-bc9f-469f-b32d-9c934b8d667c,4250589432778,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
